"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"VIA-0.6mm";113;"VIA-0.6mm";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
3;"EPS";"hrs-df11-6dp-2dsa";1;"CONN_02X03";;;
4;"C81,C17";"CC1120DecCAP";2;"2.2uF";;;
5;"SWD";"hrs-df11-6dp-2dsa";1;"SWD";;;
6;"OBC";"hrs-df11-6dp-2dsa";1;"OBC";;;
7;"U12";"ADT7420";1;"ADT7420";;;
8;"U5";"TQFP-100";1;"STM32F407VG";;;
9;"RFSHIELD1";"BMI-S-x06";1;"TEST_1P";;;
10;"VHF,UHF";"mmcx_conn";2;"SMA";;;
11;"G***";"upsat-logo";1;"LOGO";;;
12;"U3,U18";"crystal_fa128";2;"FA_128_";;;
13;"U10,U4";"cc1120";2;"CC1120";;;
14;"U16";"RF5110G";1;"RF5110G";;;
15;"C3,C4,C53,C55";"0402_cc";4;"100nF";;;
16;"C5,C6,C12,C13,C15,C16,C18,C19,C21,C22,C23,C26,C57,C58,C71,C73,C77,C79,C83,C85,C89,C91,C93,C95";"0402_cc";24;"47nF";;;
17;"C7,C61";"0402_cc";2;"220nF";;;
18;"C8,C27,C30,C62,C96,C99";"0402_cc";6;"10nF";;;
19;"C9,C65";"0402_cc";2;"22pF";;;
20;"C10,C11,C67,C69";"0402_cc";4;"15pF";;;
21;"C14,C75";"0402_cc";2;"TBD";;;
22;"C20,C87";"0402_cc";2;"1.8nF";;;
23;"C31";"0402_cc";1;"150 pF";;;
24;"C32";"0402_cc";1;"100 pF";;;
25;"C33,C105";"0402_cc";2;"100pF";;;
26;"C34,C35,C37,C39";"0402_cc";4;"15 pF";;;
27;"C44";"0402_cc";1;"18 pF";;;
28;"C47";"0402_cc";1;"1.8 pF";;;
29;"C101";"0402_cc";1;"39pF";;;
30;"C103";"0402_cc";1;"56pF";;;
31;"C107";"0402_cc";1;"2.2pF";;;
32;"C109,C111,C113";"0402_cc";3;"5.1pF";;;
33;"C115";"0402_cc";1;"6.2pF";;;
34;"C118";"0402_cc";1;"do not mount";;;
35;"L1,L11";"0402_cc";2;"BLM15HG102SN1D";;;
36;"L2";"0402_cc";1;"150 nH";;;
37;"L3";"0402_cc";1;"180 nH";;;
38;"L5";"0402_cc";1;"19 nH";;;
39;"L6,L7";"0402_cc";2;"91 nH";;;
40;"L8";"0402_cc";1;"120 nH";;;
41;"L9";"0402_cc";1;"43 nH";;;
42;"L10";"0402_cc";1;"75 nH";;;
43;"L13,L15";"0402_cc";2;"56nH";;;
44;"L17,L25";"0402_cc";2;"15nH";;;
45;"L19,L21";"0402_cc";2;"27nH";;;
46;"L23";"0402_cc";1;"43nH";;;
47;"L27";"0402_cc";1;"22nH";;;
48;"R8,R9,R10,R24,R26,R27,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R58";"0402_cc";22;"0";;;
49;"R17,R32";"0402_cc";2;"56K";;;
50;"R19";"0402_cc";1;"22 Ohm";;;
51;"R39";"0402_cc";1;"18";;;
52;"R53";"0603murata2";1;"180 Ohm";;;
53;"R51";"0603murata2";1;"18";;;
54;"R49";"0603murata2";1;"180";;;
55;"R47,R20";"0603murata2";2;"0";;;
56;"R45,R43,R3";"0603murata2";3;"10K";;;
57;"R41,R38,R37,R36,R35,R34,R31,R30";"0603murata2";8;"470";;;
58;"R18";"0603murata2";1;"47";;;
59;"R5";"0603murata2";1;"220";;;
60;"L33";"0603murata2";1;"4.3 nH";;;
61;"L29";"0603murata2";1;"6.8nH";;;
62;"L4";"0603murata2";1;"fcm1608-0603";;;
63;"C169,C135";"0603murata2";2;"56pF";;;
64;"C164";"0603murata2";1;"4 pF";;;
65;"C160";"0603murata2";1;"22 pF";;;
66;"C159";"0603murata2";1;"6.8 pF";;;
67;"C157";"0603murata2";1;"TBD";;;
68;"C153,C121";"0603murata2";2;"3.3uF";;;
69;"C152,C143,C129,C127";"0603murata2";4;"1nF";;;
70;"C151,C149";"0603murata2";2;"47pF";;;
71;"C147,C141,C125,C123";"0603murata2";4;"10000pF";;;
72;"C145,C139";"0603murata2";2;"18pF";;;
73;"C137,C49,C48,C46,C45,C43,C42,C41,C38,C25,C24";"0603murata2";11;"100nF";;;
74;"C132,C131";"0603murata2";2;"330pF";;;
75;"C117";"0603murata2";1;"0.1uF";;;
76;"C52,C51";"0603murata2";2;"6.8pF";;;
77;"C50,C29,C28";"0603murata2";3;"1uF";;;
78;"C40,C36";"0603murata2";2;"2.2uF";;;
79;"C2,C1";"0603murata2";2;"20pF";;;
80;"Y1";"ABM3crystal";1;"Crystal ";;;
81;"Y2";"ABS07crystal";1;"Crystal ";;;
82;"U6,U1";"TXCOTG5021CG";2;"TXCO_TG_5021CG";;;
83;"U2,U8";"sot23-5";2;"TPS79930";;;
84;"U14";"sot23-5";1;"OPA320";;;
85;"G***";"Logo_silk_OSHW_12x13mm";1;"LOGO";;;
86;"L31";"Taiyo_Yuden_bead";1;"Taiyo Yuden ";;;
